"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
6802407,"92",NA,NA,NA,NA,327.25,331.57,338.05,347.795,354.4188,355.2805,355.855,4,2007,2022,"04-02"
6802407,"121",NA,NA,NA,NA,337.625,340.946,343.595,355.385,358.7675,366.6585,374.16,10,2007,2022,"05-01"
6802407,"122",NA,NA,NA,NA,336.1,336.6325,337.4312,346.4925,355.8425,357.161,358.04,4,2007,2022,"05-02"
6802407,"152",NA,NA,NA,NA,338.75,339.101,344.3225,358.725,363.8887,367.343,381.455,10,2007,2022,"06-01"
6802407,"153",NA,NA,NA,NA,336,339.99,345.975,355.1625,362.3262,364.6685,366.23,4,2007,2022,"06-02"
6802407,"182",NA,NA,NA,NA,338.23,344.2375,346.2925,363.475,368.955,371.119,382.675,10,2007,2022,"07-01"
6802407,"183",NA,NA,NA,NA,340.15,343.075,347.4625,356.785,366.865,372.616,376.45,4,2007,2022,"07-02"
6802407,"213",NA,NA,NA,NA,345.275,349.8695,352.375,368.14,372.265,373.363,374.56,10,2007,2022,"08-01"
6802407,"214",NA,NA,NA,NA,346.13,346.811,347.8325,357.7,370.3288,376.3205,380.315,4,2007,2022,"08-02"
6802407,"244",NA,NA,NA,NA,312.25,343.7,354.16,362.21,371.5725,372.04,372.57,11,2007,2022,"09-01"
6802407,"245",NA,NA,NA,NA,346.49,347.618,349.31,358.255,368.3662,372.1575,374.685,4,2007,2022,"09-02"
6802407,"274",NA,NA,NA,NA,314.65,344.98,353.4225,359,369.8425,371.21,371.75,11,2007,2022,"10-01"
6802407,"275",NA,NA,NA,NA,345.685,346.9345,348.8088,355.9475,366.0437,373.2415,378.04,4,2007,2022,"10-02"
6802407,"305",NA,NA,NA,NA,314.55,344.97,350.865,358.035,365.905,368.895,371.215,11,2007,2022,"11-01"
6802407,"306",NA,NA,NA,NA,343.845,345.5715,348.1613,354.9625,364.3137,371.4935,376.28,4,2007,2022,"11-02"
6802407,"335",NA,NA,NA,NA,313.55,343.775,351.325,355.8,363.4925,366.075,369.15,11,2007,2022,"12-01"
6802407,"336",NA,NA,NA,NA,342.36,344.672,348.14,355.0658,363.39,369.375,373.365,4,2007,2022,"12-02"
6802508,"1","2022-01-01",112.7,"Jan","01-01",67.65,85.9625,88.4,96.95,104.8625,110.2,115.6,16,2007,2022,"01-01"
6802508,"32","2022-02-01",118.9,"Feb","02-01",69.95,83.0075,86.775,95.775,100.9125,110.65,121.3,16,2007,2022,"02-01"
6802508,"60","2022-03-01",116.5,"Mar","03-01",79.9,81.6425,87.0875,96.45,101.25,114.99,121.9,12,2007,2022,"03-01"
6802508,"61",NA,NA,NA,NA,72.65,76.64,82.625,90.55,96.7875,99.735,101.7,4,2007,2022,"03-02"
6802508,"91",NA,NA,NA,NA,76.96,80,86.13,94,102.3,104.95,122.7,11,2007,2022,"04-01"
6802508,"92",NA,NA,NA,NA,77,80.09,84.725,91.225,96.3625,98.545,100,4,2007,2022,"04-02"
6802508,"121",NA,NA,NA,NA,73.79,83.05,84.15,93.7,102.725,103.4,116.9,11,2007,2022,"05-01"
6802508,"122",NA,NA,NA,NA,81.45,81.48,81.525,89.575,100.0338,104.4145,107.335,4,2007,2022,"05-02"
6802508,"152",NA,NA,NA,NA,70.875,80.5,85.025,100.85,107.025,112.8,114.8,11,2007,2022,"06-01"
6802508,"153",NA,NA,NA,NA,76.6,80.185,85.5625,95.405,103.11,104.64,105.66,4,2007,2022,"06-02"
6802508,"182",NA,NA,NA,NA,67.21,83,88.0425,104.65,115.75,119.3,119.85,11,2007,2022,"07-01"
6802508,"183",NA,NA,NA,NA,83,85.46,89.15,100,110.0125,112.195,113.65,4,2007,2022,"07-02"
6802508,"213",NA,NA,NA,NA,64.3,90,95.25,105.8,118.9,122.35,127.7,11,2007,2022,"08-01"
